Eid,Id,Value_1,Value_2,Identity
3.1_examples_1,46,0,0,[(A - F)*(C - [-A/2 + 3*D/2])]+[(A - D)*(-[A/2 + C - F/2] + D) + (C - D)*(-D + F)]
3.1_examples_1,48,0,0,[(A - F)*(-[A/4 + 3*D/4] + [A/2 + C/2])]+1/2*[(A - D)*(-[A/2 + C - F/2] + D) + (C - D)*(-D + F)]
3.1_examples_1,53,0,0,[(A - F)*(-D + [A + 2*C - 2*D])]+2*[(A - D)*(-[A/2 + C - F/2] + D) + (C - D)*(-D + F)]
3.1_examples_1,58,0,0,[(A - F)*(A - [-C + 2*[A/4 + 3*D/4]])]+[(A - D)*(-[A/2 + C - F/2] + D) + (C - D)*(-D + F)]
3.1_examples_1,91,0,0,[(-[A + 2*C - 2*D] + F)*(A - D) + 2*(C - D)*(-D + F)]+2*[(A - F)*(-[-A/2 + 3*D/2] + C)]
3.1_examples_1,155,0,0,[(-[A + 2*C - 2*D] + F)*(A - D) + 2*(A - F)*(A - [D/2 + [A - 2*C + 2*D]/2])]+2*[(C - D)*(-D + F)]
3.1_examples_1,156,0,0,[(-A + [-2*C + 2*D + F])*(A - D) + 2*(A - F)*(A - [D/2 + [A - 2*C + 2*D]/2])]+2*[(C - D)*(-D + F)]
3.1_examples_1,158,0,0,[(D - [A + 2*C - 2*[D/2 + F/2]])*(A - D) + ([A + 2*C - 2*D] - D)*(A - F)]+2*[(C - D)*(-D + F)]
3.1_examples_1,199,1,0,[(-A + [-2*C + 2*D + F])*(A - D) + 2*(A - F)*(A - [[A/2+ D/2] - C  + D])]+2*[(C - D)*(-D + F)]
3.1_examples_1,207,1,0,[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2]) + (A - F)*(-[-A/2 + 3*D/2] + C)]+[(C - D)*(-D + F)]
3.1_examples_1,212,1,0,[(A - D)*(-C + [D/2 + [-A + D + F]/2]) + (A - F)*(-[-A/2 + 3*D/2] + C)]+[(C - D)*(-D + F)]
3.1_examples_1,264,0,0,[2*(A - D)*(-C + [-A/2 + D/2 +[D/2 + F/2]]) + ([A + 2*C - 2*D] - D)*(A - F)]+2*[(C - D)*(-D + F)]
3.1_examples_1,269,0,0,[(-A + [2*[D/2 + F/2] - 2*C + D])*(A - D) + 2*(A - F)*(-D + [A + C - [A/2 + D/2]])]+2*[(C - D)*(-D + F)]
3.1_examples_1,280,0,0,[(A - D)*(-C + [[-A + D + F]/2 + D/2]) + 2*(A - F)*(-[A/4 + 3*D/4] + [A/2 + C/2])]+[(C - D)*(-D + F)]
3.1_examples_1,285,0,0,[(D - [A - 2*[D/2 + F/2] + 2*C])*(A - D) + 2*(A - F)*(-D + [A/2 + C - D/2])]+2*[(C - D)*(-D + F)]
3.1_examples_1,292,1,1,[(A - [D/2 + [A - 2*C + 2*D]/2])*(A - F) + (C - D)*(-D + F)]+1/2*[(A - D)*(D - [A - 2*[D/2 + F/2] + 2*C])]
3.1_examples_1,297,0,0,[(A - [-C + 2*[A/4 + 3*D/4]])*(A - F) + (C - D)*(-D + F)]+[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2])]
3.1_examples_1,320,0,0,[(A - [[A/2+ D/2] - C  + D])*(A - F) + (C - D)*(-D + F)]+[(A - D)*(-C + [[-A + D + F]/2 + D/2])]
3.1_examples_1,321,0,0,[(A - [[A/2+ D/2] - C  + D])*(A - F) + (C - D)*(-D + F)]+[(A - D)*(-C + [-A/2 + D/2 + [D/2 + F/2]])]
3.1_examples_1,327,0,0,[(A - F)*(C - [-A/2 + 3*D/2]) + (C - D)*(-D + F)]+[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2])]
3.1_examples_1,349,0,0,[2*(A - F)*(-[A/4 + 3*D/4] + [A/2 + C/2]) + (C - D)*(-D + F)]+[(A - D)*([-A/2 + D + F/2] - C)]
3.1_examples_1,370,0,0,[(-[A/2 + D/2] + [-D + 2*[A/2 + C/2]])*(A - F) + (C - D)*(-D + F)]+[(A - D)*(-C + [[-A + D + F]/2 + D/2])]
3.1_examples_1,398,0,0,[([A + 2*C - 2*D] - D)*(A - F) + 2*(C - D)*(-D + F)]+[(A - D)*(-[A + 2*C - 2*D] + F)]
3.1_examples_1,419,0,0,[(-[A/2 + D/2] + [A + C - D])*(A - F) + (C - D)*(-D + F)]+[(A - D)*([-A/2 + D + F/2] - C)]
3.1_examples_1,427,0,0,[([A/2 + C - D/2] - D)*(A - F) + (C - D)*(-D + F)]+[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2])]
3.1_examples_1,431,0,0,[(-D + [A + C - [A/2 + D/2]])*(A - F) + (C - D)*(-D + F)]+[(A - D)*(-C + [-A/2 + D/2 + [D/2 + F/2]])]
3.1_examples_1,432,0,0,[(-D + [A + C - [A/2 + D/2]])*(A - F) + (C - D)*(-D + F)]+1/2*[(A - D)*(D - [A - 2*[D/2 + F/2] + 2*C])]
3.1_examples_1,434,0,0,[(-D + [A + C - [A/2 + D/2]])*(A - F) + (C - D)*(-D + F)]+[(A - D)*(-[A/2 + C - F/2] + D)]
3.1_examples_1,529,0,0,[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2])]+[(C - D)*(-D + F)]+2*[(A - F)*(-[A/4 + 3*D/4] + [A/2 + C/2])]
3.1_examples_1,533,0,0,[(A - F)*([2*[(A+C)/2]-[(A+D)/2]] - D)]+[(C - D)*(-D + F)]+[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2])]
3.1_examples_1,534,0,0,[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2])]+[(C - D)*(-D + F)]+1/2*[(A - F)*([A + 2*C - 2*D] - D)]
3.1_examples_1,537,0,0,[(A - F)*([A/2 + C - D/2] - D)]+[(C - D)*(-D + F)]+[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2])]
3.1_examples_1,538,0,0,[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2])]+[(C - D)*(-D + F)]+[(A - [[A - 2*C + 2*D]/2 + D/2])*(A - F)]
3.1_examples_1,539,0,0,[(A - D)*(-[A/2 + C - D/2] + [D/2 + F/2])]+[(C - D)*(-D + F)]+[(A - [2*[A/4 + 3*D/4] - C])*(A - F)]
3.1_examples_1,544,0,0,[(A - D)*(F - [A + 2*C - 2*D])]+2*[(C - D)*(-D + F)]+4*[(A - F)*(-[A/4 + 3*D/4] + [A/2 + C/2])]
3.1_examples_1,546,0,0,[(A - F)*(-[A/2 + D/2] + [-D + 2*[A/2 + C/2]])]+[(C - D)*(-D + F)]+1/2*[(A - D)*(-[A + 2*C - 2*D] + F)]
3.1_examples_1,553,0,0,[(A - D)*(F - [A + 2*C - 2*D])]+2*[(C - D)*(-D + F)]+2*[(A - [[A - 2*C + 2*D]/2 + D/2])*(A - F)]
3.1_examples_1,564,0,0,[(A - D)*(-C + [-A/2 + D + F/2])]+[(C - D)*(-D + F)]+1/2*[(A - F)*([A + 2*C - 2*D] - D)]
3.1_examples_1,566,0,0,[(A - F)*(-[A/2 + D/2] + [A + C - D])]+[(C - D)*(-D + F)]+[(A - D)*([-A/2 + D + F/2] - C)]
3.1_examples_1,569,0,0,[(A - D)*(-C + [-A/2 + D + F/2])]+[(C - D)*(-D + F)]+[(A - [2*[A/4 + 3*D/4] - C])*(A - F)]
3.1_examples_1,571,1,0,[(A - D)*(-C + [-A/2 + D + F/2])]+[(C - D)*(-D + F)]+[(A - [[A/2+ D/2] - C  + D])*(A - F)]
3.1_examples_1,572,1,0,[(A - D)*(-C + [D/2 + [-A + D + F]/2])]+[(C - D)*(-D + F)]+[(A - F)*(-[-A/2 + 3*D/2] + C)]
3.1_examples_1,578,0,0,[(A - F)*(-D + [-[A/2 + D/2] + 2*(A/2 + C/2)])]+[(C - D)*(-D + F)]+[(A - D)*(-C + [[-A + D + F]/2 + D/2])]
3.1_examples_1,579,0,0,[(A - D)*(-C + [D/2 + [-A + D + F]/2])]+[(C - D)*(-D + F)]+1/2*[(A - F)*([A + 2*C - 2*D] - D)]
3.1_examples_1,580,0,0,[(A - F)*(-D + [A/2 + C - D/2])]+[(C - D)*(-D + F)]+[(A - D)*(-C + [[-A + D + F]/2 + D/2])]
3.1_examples_1,582,0,0,[(A - F)*(-D + [A + C - [A/2 + D/2]])]+[(C - D)*(-D + F)]+[(A - D)*(-C + [[-A + D + F]/2 + D/2])]
3.1_examples_1,583,0,0,[(A - D)*(-C + [D/2 + [-A + D + F]/2])]+[(C - D)*(-D + F)]+[(A - [[A - 2*C + 2*D]/2 + D/2])*(A - F)]
3.1_examples_1,586,0,0,[(A - D)*(-C + [D/2 + [-A + D + F]/2])]+[(C - D)*(-D + F)]+[(A - [[A/2+ D/2] - C  + D])*(A - F)]
3.1_examples_1,594,0,0,[(A - D)*(-C + [-A/2 + D/2 + D/2 + F/2])]+[(C - D)*(-D + F)]+1/2*[(A - F)*([A + 2*C - 2*D] - D)]
3.1_examples_1,596,0,0,[(A - F)*(-[A/2 + D/2] + [A + C - D])]+[(C - D)*(-D + F)]+[(A - D)*(-C + [-A/2 + D/2 + D/2 + F/2])]
3.1_examples_1,598,0,0,[(A - D)*(-C + [-A/2 + D/2 + D/2 + F/2])]+[(C - D)*(-D + F)]+[(A - [[A - 2*C + 2*D]/2 + D/2])*(A - F)]
3.1_examples_1,599,0,0,[(A - D)*(-C + [-A/2 + D/2 + D/2 + F/2])]+[(C - D)*(-D + F)]+[(A - [2*[A/4 + 3*D/4] - C])*(A - F)]
3.1_examples_1,602,0,0,[(A - F)*(C - [-A/2 + 3*D/2])]+[(C - D)*(-D + F)]+1/2*[(A - D)*(D - [A - 2*[D/2 + F/2] + 2*C])]
3.1_examples_1,611,0,0,[(A - F)*(-[A/2 + D/2] + [A + C - D])]+[(C - D)*(-D + F)]+1/2*[(A - D)*(D - [A - 2*[D/2 + F/2] + 2*C])]
3.1_examples_1,613,0,0,[(A - F)*(A - [D/2 + [A - 2*C + 2*D]/2])]+[(C - D)*(-D + F)]+1/2*[(A - D)*(D - [A - 2*[D/2 + F/2] + 2*C])]
3.1_examples_1,621,0,0,[(A - F)*(-[A/2 + D/2] + [-D + 2*[A/2 + C/2]])]+[(C - D)*(-D + F)]+1/2*[(-A + [2*[D/2 + F/2] - 2*C + D])*(A - D)]
3.1_examples_1,625,0,0,[(A - F)*(-D + [A/2 + C - D/2])]+[(C - D)*(-D + F)]+1/2*[(-A + [2*[D/2 + F/2] - 2*C + D])*(A - D)]
3.1_examples_1,634,0,0,[(A - F)*(-[A/4 + 3*D/4] + [A/2 + C/2])]+1/2*[(C - D)*(-D + F)]+1/2*[(A - D)*(-[A/2 + C - F/2] + D)]
3.1_examples_1,642,0,0,[(A - F)*(-D + [A + C - [A/2 + D/2]])]+[(C - D)*(-D + F)]+[(A - D)*(-[A/2 + C - F/2] + D)]
3.1_examples_1,644,1,0,[(A - F)*(A - [-C + 2*[A/4 + 3*D/4]])]+[(C - D)*(-D + F)]+[(A - D)*(-[A/2 + C - F/2] + D)]
3.1_examples_1,647,0,0,[(A - F)*(C - [-A/2 + 3*D/2])]+[(C - D)*(-D + F)]+1/2*[(-A + [-2*C + 2*D + F])*(A - D)]
3.1_examples_1,651,0,1,[(A - F)*(-[A/2 + D/2] + [-D + 2*[A/2 + C/2]])]+[(C - D)*(-D + F)]+1/2*[(-A + [-2*C + 2*D + F])*(A - D)]
3.1_examples_1,654,0,0,[(A - F)*(-D + [A + 2*C - 2*D])]+2*[(C - D)*(-D + F)]+[(-A + [-2*C + 2*D + F])*(A - D)]
3.1_examples_1,661,1,0,[(A - F)*(A - [[A/2+ D/2] - C  + D])]+[(C - D)*(-D + F)]+1/2*[(-A + [-2*C + 2*D + F])*(A - D)]
3.1_examples_1,676,1,1,[-(A - D)*([A/2 + D/2] - D) - (A - D)*(C - [D/2 + F/2])]+[(C - D)*(-D + F)]+[(A - [[A/2+ D/2] - C  + D])*(A - F)]
3.1_examples_1,705,0,0,[-(A - D)*(-D + [A/2 + D/2]) + (-[A/2 + D/2] + [A + C - D])*(A - F)]+[(C - D)*(-D + F)]-[(A - D)*(-[D/2 + F/2] + C)]
3.1_examples_2,288,0,0,[(-A + C)**2 - (C - P)**2 + (P - Q)**2]+[(B - [-A + 2*C])*(-A + B) - (B - Q)**2]-2*[(B - P)*(-C + Q)]
3.1_examples_2,644,0,0,[(-A + B)**2 - (C - P)**2 + (P - Q)**2]+[(-A + C)*(-B + [A - B + C])]+[-2*(B - P)*(-C + Q) - (B - Q)**2]
3.1_examples_2,679,0,0,[(-A + B)**2 - (C - P)**2 + (P - Q)**2]+[(-A + C)*(-B + [-A + 2*[A - B/2 + C/2]])]+[-2*(B - P)*(-C + Q) - (B - Q)**2]
3.1_examples_2,727,0,0,[(-A + B)**2 - (C - P)**2 + (P - Q)**2]+2*[(-A + C)*(A - [[A/2 + B/2] + B/2 - C/2])]+[-2*(B - P)*(-C + Q) - (B - Q)**2]
3.1_examples_2,752,0,1,[(-A + B)**2 - (B - Q)**2 + (P - Q)**2]+2*[(-A + C)*(-[A/2 + B/2] + [-B/2 + 3*[2*A/3 + C/3]/2])]+[-2*(B - P)*(-C + Q) - (C - P)**2]
3.1_examples_2,855,0,0,[-(B - Q)**2 - (C - P)**2 + (P - Q)**2]+[(-A + C)*(-[A + B - C] + [2*A - B])]+[(-A + B)**2 - 2*(B - P)*(-C + Q)]
