Eid,Identity
3.1_examples_1,[(A-D)*(C-(F+D)/2)]-[([A+C-D]-[(A+D)/2])*(A-F)-((A-D)*([(A+D)/2]-D)-(C-D)*(F-D))]
3.1_examples_2,[(P-Q)^2-2*(B-P)*(Q-C)]-2*[(B-A)*(C-A)]+[(C-A)^2-(C-P)^2]+[(B-A)^2-(B-Q)^2]
3.1_examples_3,[(A-B)^2-(B-C)*(B-D)]-[(A-B)*(A-C)]+[(B-C)*(A-D)]
3.2_examples_1,[(C-[2*B-A])^2-4*(C-[(B+A)/2])^2]-3*[(B-A)^2-(C-A)^2]
3.2_examples_2,2*[([[(A+D)/2]+[(B+C)/2]-O]-[(C+D)/2])]*(A-B)+[(B-O)^2-(A-O)^2]
3.2_examples_3,[([2*A-B]-[B+D-A])*([2*B-A]-D)]+[4*(B-A)^2-(D-A)^2]
3.2_examples_4,[((A-[(B+C)/2])^2+(B-[(A+C)/2])^2-5/4*(A-B)^2)]-1/2*[(C-A)*(C-B)]
3.2_examples_5,(([[(C+D)/2]+B-[(A+B)/2]]-D)^2-([(A+B)/2]-[(C+D)/2])^2)+[(A-C)*(B-D)]
3.2_examples_6,([(A-O)^2+(C-O)^2-(B-O)^2-([A+C-B]-O)^2])+2*[(B-A)*(B-C)]
3.2_examples_7,[(A-D)^2+(B-C)^2-(A-B)^2-(C-D)^2]-2*[(A-C)*(B-D)]
3.2_examples_9,[(B-A)^2-(P-A)^2-(P-B)*(C-P)]-[([B+C-A]-A)*(B-P)]
3.2_examples_10,[([A+B+C-2*O]/2-[B+C-O]/2)^2-([A+B+C-2*O]/2-[S+A+B+C-3*O]/2)^2]-1/4*[(A-O)^2-(S-O)^2]
3.2_examples_11,5/3*[(B-D)*(A-[(3*[B-(A-D)/3]+2*D)/5])]+[(A-B)^2-(A-D)^2]
3.2_examples_12,2*[([[A/2+B/2]+[C/2+D/2]-O]-[A+C]/2)*(B-D)]+[(D-O)^2-(B-O)^2]
3.2_examples_13,([[A/2+B/2]+[C/2+D/2]-P]-[B/2+C/2])^2-((A+D)/2-P)^2
